log_id,station_id,item_name,date,quantity_used,unit,active_headcount,temperature_c
LOG-000099,MTR,Medical Oxygen,2026-05-28,1.03,cylinders,26,4.2
LOG-000100,MTR,Medical Kit Supplies,2026-05-28,1.31,units,26,4.2
LOG-000101,MTR,Dry Rations,2026-05-28,31.21,kg,26,4.2
LOG-000102,MTR,Frozen Rations,2026-05-28,23.61,kg,26,4.2
LOG-000103,MTR,Potable Water Treatment Tablets,2026-05-28,2.88,units,26,4.2
LOG-000104,MTR,Spare Batteries (AA/Lithium),2026-05-28,2.41,units,26,4.2
LOG-000105,MTR,Diesel Fuel,2026-05-29,307.79,litres,24,4.5
LOG-000106,MTR,Propane (LPG),2026-05-29,29.22,kg,24,4.5
LOG-000107,MTR,Medical Oxygen,2026-05-29,0.81,cylinders,24,4.5
LOG-000108,MTR,Medical Kit Supplies,2026-05-29,1.87,units,24,4.5
LOG-000109,MTR,Dry Rations,2026-05-29,30.41,kg,24,4.5
LOG-000110,MTR,Frozen Rations,2026-05-29,15.57,kg,24,4.5
LOG-000111,MTR,Potable Water Treatment Tablets,2026-05-29,2.72,units,24,4.5
LOG-000112,MTR,Spare Batteries (AA/Lithium),2026-05-29,2.32,units,24,4.5
LOG-000113,MTR,Diesel Fuel,2026-05-30,376.04,litres,27,4.8
LOG-000114,MTR,Propane (LPG),2026-05-30,31.25,kg,27,4.8
LOG-000115,MTR,Medical Oxygen,2026-05-30,1.31,cylinders,27,4.8
LOG-000116,MTR,Medical Kit Supplies,2026-05-30,2.55,units,27,4.8
LOG-000117,MTR,Dry Rations,2026-05-30,30.92,kg,27,4.8
LOG-000118,MTR,Frozen Rations,2026-05-30,23.97,kg,27,4.8
LOG-000119,MTR,Potable Water Treatment Tablets,2026-05-30,4.06,units,27,4.8
LOG-000120,MTR,Spare Batteries (AA/Lithium),2026-05-30,3.59,units,27,4.8
LOG-000121,MTR,Diesel Fuel,2026-05-31,288.24,litres,27,5.1
LOG-000122,MTR,Propane (LPG),2026-05-31,24.18,kg,27,5.1
LOG-000123,MTR,Medical Oxygen,2026-05-31,1.24,cylinders,27,5.1
LOG-000124,MTR,Medical Kit Supplies,2026-05-31,1.96,units,27,5.1
LOG-000125,MTR,Dry Rations,2026-05-31,32.42,kg,27,5.1
LOG-000126,MTR,Frozen Rations,2026-05-31,25.27,kg,27,5.1
LOG-000127,MTR,Potable Water Treatment Tablets,2026-05-31,3.45,units,27,5.1
LOG-000128,MTR,Spare Batteries (AA/Lithium),2026-05-31,3.45,units,27,5.1
LOG-000129,MTR,Diesel Fuel,2026-06-01,305.77,litres,26,5.4
LOG-000130,MTR,Propane (LPG),2026-06-01,25.08,kg,26,5.4
LOG-000131,MTR,Medical Oxygen,2026-06-01,0.58,cylinders,26,5.4
LOG-000132,MTR,Medical Kit Supplies,2026-06-01,1.67,units,26,5.4
LOG-000133,MTR,Dry Rations,2026-06-01,26.23,kg,26,5.4
LOG-000134,MTR,Frozen Rations,2026-06-01,18.92,kg,26,5.4
LOG-000135,MTR,Potable Water Treatment Tablets,2026-06-01,4.0,units,26,5.4
LOG-000136,MTR,Spare Batteries (AA/Lithium),2026-06-01,1.66,units,26,5.4
LOG-000137,MTR,Diesel Fuel,2026-06-02,247.16,litres,24,5.7
LOG-000138,MTR,Propane (LPG),2026-06-02,21.4,kg,24,5.7
LOG-000139,MTR,Medical Oxygen,2026-06-02,0.63,cylinders,24,5.7
LOG-000140,MTR,Medical Kit Supplies,2026-06-02,1.7,units,24,5.7
LOG-000141,MTR,Dry Rations,2026-06-02,24.78,kg,24,5.7
LOG-000142,MTR,Frozen Rations,2026-06-02,18.87,kg,24,5.7
LOG-000143,MTR,Potable Water Treatment Tablets,2026-06-02,2.55,units,24,5.7
LOG-000144,MTR,Spare Batteries (AA/Lithium),2026-06-02,3.2,units,24,5.7
LOG-000145,MTR,Diesel Fuel,2026-06-03,349.15,litres,26,6.0
LOG-000146,MTR,Propane (LPG),2026-06-03,29.91,kg,26,6.0
LOG-000147,MTR,Medical Oxygen,2026-06-03,1.06,cylinders,26,6.0
LOG-000148,MTR,Medical Kit Supplies,2026-06-03,2.41,units,26,6.0
LOG-000149,MTR,Dry Rations,2026-06-03,31.36,kg,26,6.0
LOG-000150,MTR,Frozen Rations,2026-06-03,19.56,kg,26,6.0
LOG-000151,MTR,Potable Water Treatment Tablets,2026-06-03,2.62,units,26,6.0
LOG-000152,MTR,Spare Batteries (AA/Lithium),2026-06-03,2.21,units,26,6.0
LOG-000153,MTR,Diesel Fuel,2026-06-04,341.14,litres,26,6.3
LOG-000154,MTR,Propane (LPG),2026-06-04,35.67,kg,26,6.3
LOG-000155,MTR,Medical Oxygen,2026-06-04,0.85,cylinders,26,6.3
LOG-000156,MTR,Medical Kit Supplies,2026-06-04,2.27,units,26,6.3
LOG-000157,MTR,Dry Rations,2026-06-04,29.08,kg,26,6.3
LOG-000158,MTR,Frozen Rations,2026-06-04,21.87,kg,26,6.3
LOG-000159,MTR,Potable Water Treatment Tablets,2026-06-04,3.17,units,26,6.3
LOG-000160,MTR,Spare Batteries (AA/Lithium),2026-06-04,1.87,units,26,6.3
LOG-000161,MTR,Diesel Fuel,2026-06-05,283.76,litres,26,6.6
LOG-000162,MTR,Propane (LPG),2026-06-05,26.87,kg,26,6.6
LOG-000163,MTR,Medical Oxygen,2026-06-05,1.04,cylinders,26,6.6
LOG-000164,MTR,Medical Kit Supplies,2026-06-05,2.34,units,26,6.6
LOG-000165,MTR,Dry Rations,2026-06-05,30.93,kg,26,6.6
LOG-000166,MTR,Frozen Rations,2026-06-05,24.34,kg,26,6.6
LOG-000167,MTR,Potable Water Treatment Tablets,2026-06-05,4.99,units,26,6.6
LOG-000168,MTR,Spare Batteries (AA/Lithium),2026-06-05,3.85,units,26,6.6
LOG-000169,MTR,Diesel Fuel,2026-06-06,220.37,litres,27,6.8
LOG-000170,MTR,Propane (LPG),2026-06-06,27.98,kg,27,6.8
LOG-000171,MTR,Medical Oxygen,2026-06-06,1.0,cylinders,27,6.8
LOG-000172,MTR,Medical Kit Supplies,2026-06-06,1.39,units,27,6.8
LOG-000173,MTR,Dry Rations,2026-06-06,31.24,kg,27,6.8
LOG-000174,MTR,Frozen Rations,2026-06-06,17.67,kg,27,6.8
LOG-000175,MTR,Potable Water Treatment Tablets,2026-06-06,3.95,units,27,6.8
LOG-000176,MTR,Spare Batteries (AA/Lithium),2026-06-06,1.49,units,27,6.8
LOG-000177,MTR,Diesel Fuel,2026-06-07,259.07,litres,26,7.1
LOG-000178,MTR,Propane (LPG),2026-06-07,27.89,kg,26,7.1
LOG-000179,MTR,Medical Oxygen,2026-06-07,0.78,cylinders,26,7.1
LOG-000180,MTR,Medical Kit Supplies,2026-06-07,2.44,units,26,7.1
LOG-000181,MTR,Dry Rations,2026-06-07,26.29,kg,26,7.1
LOG-000182,MTR,Frozen Rations,2026-06-07,25.49,kg,26,7.1
LOG-000183,MTR,Potable Water Treatment Tablets,2026-06-07,3.7,units,26,7.1
LOG-000184,MTR,Spare Batteries (AA/Lithium),2026-06-07,3.47,units,26,7.1
LOG-000185,MTR,Diesel Fuel,2026-06-08,211.02,litres,26,7.3
LOG-000186,MTR,Propane (LPG),2026-06-08,29.21,kg,26,7.3
LOG-000187,MTR,Medical Oxygen,2026-06-08,1.3,cylinders,26,7.3
LOG-000188,MTR,Medical Kit Supplies,2026-06-08,1.75,units,26,7.3
LOG-000189,MTR,Dry Rations,2026-06-08,30.16,kg,26,7.3
LOG-000190,MTR,Frozen Rations,2026-06-08,23.72,kg,26,7.3
LOG-000191,MTR,Potable Water Treatment Tablets,2026-06-08,4.29,units,26,7.3
LOG-000192,MTR,Spare Batteries (AA/Lithium),2026-06-08,3.26,units,26,7.3
LOG-000193,MTR,Diesel Fuel,2026-06-09,220.71,litres,24,7.5
LOG-000194,MTR,Propane (LPG),2026-06-09,19.49,kg,24,7.5
LOG-000195,MTR,Medical Oxygen,2026-06-09,0.59,cylinders,24,7.5
LOG-000196,MTR,Medical Kit Supplies,2026-06-09,1.35,units,24,7.5
LOG-000197,MTR,Dry Rations,2026-06-09,28.03,kg,24,7.5
LOG-000198,MTR,Frozen Rations,2026-06-09,19.81,kg,24,7.5
LOG-000199,MTR,Potable Water Treatment Tablets,2026-06-09,2.92,units,24,7.5
LOG-000200,MTR,Spare Batteries (AA/Lithium),2026-06-09,2.88,units,24,7.5
LOG-000201,MTR,Diesel Fuel,2026-06-10,225.17,litres,25,7.7
LOG-000202,MTR,Propane (LPG),2026-06-10,29.11,kg,25,7.7
LOG-000203,MTR,Medical Oxygen,2026-06-10,1.06,cylinders,25,7.7
LOG-000204,MTR,Medical Kit Supplies,2026-06-10,1.39,units,25,7.7
LOG-000205,MTR,Dry Rations,2026-06-10,30.69,kg,25,7.7
LOG-000206,MTR,Frozen Rations,2026-06-10,24.65,kg,25,7.7
LOG-000207,MTR,Potable Water Treatment Tablets,2026-06-10,2.77,units,25,7.7
LOG-000208,MTR,Spare Batteries (AA/Lithium),2026-06-10,1.31,units,25,7.7
LOG-000209,MTR,Diesel Fuel,2026-06-11,286.37,litres,25,7.9
LOG-000210,MTR,Propane (LPG),2026-06-11,33.62,kg,25,7.9
LOG-000211,MTR,Medical Oxygen,2026-06-11,0.78,cylinders,25,7.9
LOG-000212,MTR,Medical Kit Supplies,2026-06-11,2.43,units,25,7.9
LOG-000213,MTR,Dry Rations,2026-06-11,24.48,kg,25,7.9
LOG-000214,MTR,Frozen Rations,2026-06-11,20.92,kg,25,7.9
LOG-000215,MTR,Potable Water Treatment Tablets,2026-06-11,4.58,units,25,7.9
LOG-000216,MTR,Spare Batteries (AA/Lithium),2026-06-11,1.86,units,25,7.9
LOG-000217,MTR,Diesel Fuel,2026-06-12,327.54,litres,25,8.1
LOG-000218,MTR,Propane (LPG),2026-06-12,29.01,kg,25,8.1
LOG-000219,MTR,Medical Oxygen,2026-06-12,0.59,cylinders,25,8.1
LOG-000220,MTR,Medical Kit Supplies,2026-06-12,2.48,units,25,8.1
LOG-000221,MTR,Dry Rations,2026-06-12,30.33,kg,25,8.1
LOG-000222,MTR,Frozen Rations,2026-06-12,18.47,kg,25,8.1
LOG-000223,MTR,Potable Water Treatment Tablets,2026-06-12,3.57,units,25,8.1
LOG-000224,MTR,Spare Batteries (AA/Lithium),2026-06-12,2.18,units,25,8.1
LOG-000225,MTR,Diesel Fuel,2026-06-13,320.9,litres,27,8.3
LOG-000226,MTR,Propane (LPG),2026-06-13,21.8,kg,27,8.3
LOG-000227,MTR,Medical Oxygen,2026-06-13,0.88,cylinders,27,8.3
LOG-000228,MTR,Medical Kit Supplies,2026-06-13,2.01,units,27,8.3
LOG-000229,MTR,Dry Rations,2026-06-13,28.98,kg,27,8.3
LOG-000230,MTR,Frozen Rations,2026-06-13,20.11,kg,27,8.3
LOG-000231,MTR,Potable Water Treatment Tablets,2026-06-13,5.11,units,27,8.3
LOG-000232,MTR,Spare Batteries (AA/Lithium),2026-06-13,2.59,units,27,8.3
LOG-000233,MTR,Diesel Fuel,2026-06-14,254.71,litres,24,8.5
LOG-000234,MTR,Propane (LPG),2026-06-14,29.77,kg,24,8.5
LOG-000235,MTR,Medical Oxygen,2026-06-14,1.18,cylinders,24,8.5
LOG-000236,MTR,Medical Kit Supplies,2026-06-14,1.52,units,24,8.5
LOG-000237,MTR,Dry Rations,2026-06-14,29.36,kg,24,8.5
LOG-000238,MTR,Frozen Rations,2026-06-14,19.57,kg,24,8.5
LOG-000239,MTR,Potable Water Treatment Tablets,2026-06-14,3.56,units,24,8.5
LOG-000240,MTR,Spare Batteries (AA/Lithium),2026-06-14,2.25,units,24,8.5
LOG-000241,MTR,Diesel Fuel,2026-06-15,259.48,litres,27,8.7
LOG-000242,MTR,Propane (LPG),2026-06-15,35.4,kg,27,8.7
LOG-000243,MTR,Medical Oxygen,2026-06-15,1.21,cylinders,27,8.7
LOG-000244,MTR,Medical Kit Supplies,2026-06-15,1.47,units,27,8.7
LOG-000245,MTR,Dry Rations,2026-06-15,33.82,kg,27,8.7
LOG-000246,MTR,Frozen Rations,2026-06-15,18.83,kg,27,8.7
LOG-000247,MTR,Potable Water Treatment Tablets,2026-06-15,3.95,units,27,8.7
LOG-000248,MTR,Spare Batteries (AA/Lithium),2026-06-15,3.0,units,27,8.7
LOG-000249,MTR,Diesel Fuel,2026-06-16,260.48,litres,26,8.8
LOG-000250,MTR,Propane (LPG),2026-06-16,28.51,kg,26,8.8
LOG-000251,MTR,Medical Oxygen,2026-06-16,0.77,cylinders,26,8.8
LOG-000252,MTR,Medical Kit Supplies,2026-06-16,1.93,units,26,8.8
LOG-000253,MTR,Dry Rations,2026-06-16,27.09,kg,26,8.8
LOG-000254,MTR,Frozen Rations,2026-06-16,18.29,kg,26,8.8
LOG-000255,MTR,Potable Water Treatment Tablets,2026-06-16,3.33,units,26,8.8
LOG-000256,MTR,Spare Batteries (AA/Lithium),2026-06-16,2.85,units,26,8.8
LOG-000257,MTR,Diesel Fuel,2026-06-17,283.37,litres,25,9.0
LOG-000258,MTR,Propane (LPG),2026-06-17,27.75,kg,25,9.0
LOG-000259,MTR,Medical Oxygen,2026-06-17,0.64,cylinders,25,9.0
LOG-000260,MTR,Medical Kit Supplies,2026-06-17,1.55,units,25,9.0
LOG-000261,MTR,Dry Rations,2026-06-17,26.56,kg,25,9.0
LOG-000262,MTR,Frozen Rations,2026-06-17,20.55,kg,25,9.0
LOG-000263,MTR,Potable Water Treatment Tablets,2026-06-17,3.1,units,25,9.0
LOG-000264,MTR,Spare Batteries (AA/Lithium),2026-06-17,2.44,units,25,9.0
LOG-000265,MTR,Diesel Fuel,2026-06-18,277.92,litres,26,9.1
LOG-000266,MTR,Propane (LPG),2026-06-18,21.07,kg,26,9.1
LOG-000267,MTR,Medical Oxygen,2026-06-18,0.75,cylinders,26,9.1
LOG-000268,MTR,Medical Kit Supplies,2026-06-18,1.83,units,26,9.1
LOG-000269,MTR,Dry Rations,2026-06-18,25.93,kg,26,9.1
LOG-000270,MTR,Frozen Rations,2026-06-18,22.51,kg,26,9.1
LOG-000271,MTR,Potable Water Treatment Tablets,2026-06-18,3.56,units,26,9.1
LOG-000272,MTR,Spare Batteries (AA/Lithium),2026-06-18,2.74,units,26,9.1
LOG-000273,MTR,Diesel Fuel,2026-06-19,263.83,litres,25,9.3
LOG-000274,MTR,Propane (LPG),2026-06-19,31.19,kg,25,9.3
LOG-000275,MTR,Medical Oxygen,2026-06-19,0.75,cylinders,25,9.3
LOG-000276,MTR,Medical Kit Supplies,2026-06-19,2.13,units,25,9.3
LOG-000277,MTR,Dry Rations,2026-06-19,25.21,kg,25,9.3
LOG-000278,MTR,Frozen Rations,2026-06-19,17.51,kg,25,9.3
LOG-000279,MTR,Potable Water Treatment Tablets,2026-06-19,2.8,units,25,9.3
LOG-000280,MTR,Spare Batteries (AA/Lithium),2026-06-19,1.73,units,25,9.3
LOG-000281,MTR,Diesel Fuel,2026-06-20,286.52,litres,23,9.4
LOG-000282,MTR,Propane (LPG),2026-06-20,31.52,kg,23,9.4
LOG-000283,MTR,Medical Oxygen,2026-06-20,0.94,cylinders,23,9.4
LOG-000284,MTR,Medical Kit Supplies,2026-06-20,1.37,units,23,9.4
LOG-000285,MTR,Dry Rations,2026-06-20,27.5,kg,23,9.4
LOG-000286,MTR,Frozen Rations,2026-06-20,16.34,kg,23,9.4
LOG-000287,MTR,Potable Water Treatment Tablets,2026-06-20,3.66,units,23,9.4
LOG-000288,MTR,Spare Batteries (AA/Lithium),2026-06-20,2.9,units,23,9.4
LOG-000289,MTR,Diesel Fuel,2026-06-21,261.85,litres,27,9.5
LOG-000290,MTR,Propane (LPG),2026-06-21,23.23,kg,27,9.5
LOG-000291,MTR,Medical Oxygen,2026-06-21,0.7,cylinders,27,9.5
LOG-000292,MTR,Medical Kit Supplies,2026-06-21,1.66,units,27,9.5
LOG-000293,MTR,Dry Rations,2026-06-21,26.24,kg,27,9.5
LOG-000294,MTR,Frozen Rations,2026-06-21,16.35,kg,27,9.5
LOG-000295,MTR,Potable Water Treatment Tablets,2026-06-21,4.14,units,27,9.5
LOG-000296,MTR,Spare Batteries (AA/Lithium),2026-06-21,2.09,units,27,9.5
LOG-000297,MTR,Diesel Fuel,2026-06-22,260.36,litres,23,9.6
LOG-000298,MTR,Propane (LPG),2026-06-22,28.02,kg,23,9.6
LOG-000299,MTR,Medical Oxygen,2026-06-22,0.55,cylinders,23,9.6
LOG-000300,MTR,Medical Kit Supplies,2026-06-22,2.15,units,23,9.6
LOG-000301,MTR,Dry Rations,2026-06-22,25.22,kg,23,9.6
LOG-000302,MTR,Frozen Rations,2026-06-22,21.83,kg,23,9.6
LOG-000303,MTR,Potable Water Treatment Tablets,2026-06-22,3.62,units,23,9.6
LOG-000304,MTR,Spare Batteries (AA/Lithium),2026-06-22,2.23,units,23,9.6
LOG-000305,MTR,Diesel Fuel,2026-06-23,261.15,litres,26,9.7
LOG-000306,MTR,Propane (LPG),2026-06-23,35.86,kg,26,9.7
LOG-000307,MTR,Medical Oxygen,2026-06-23,0.72,cylinders,26,9.7
LOG-000308,MTR,Medical Kit Supplies,2026-06-23,2.42,units,26,9.7
LOG-000309,MTR,Dry Rations,2026-06-23,24.59,kg,26,9.7
LOG-000310,MTR,Frozen Rations,2026-06-23,16.28,kg,26,9.7
LOG-000311,MTR,Potable Water Treatment Tablets,2026-06-23,3.88,units,26,9.7
LOG-000312,MTR,Spare Batteries (AA/Lithium),2026-06-23,2.8,units,26,9.7
LOG-000313,MTR,Diesel Fuel,2026-06-24,204.94,litres,23,9.7
LOG-000314,MTR,Propane (LPG),2026-06-24,29.59,kg,23,9.7
LOG-000315,MTR,Medical Oxygen,2026-06-24,1.11,cylinders,23,9.7
LOG-000316,MTR,Medical Kit Supplies,2026-06-24,1.25,units,23,9.7
LOG-000317,MTR,Dry Rations,2026-06-24,22.98,kg,23,9.7
LOG-000318,MTR,Frozen Rations,2026-06-24,18.93,kg,23,9.7
LOG-000319,MTR,Potable Water Treatment Tablets,2026-06-24,3.26,units,23,9.7
LOG-000320,MTR,Spare Batteries (AA/Lithium),2026-06-24,2.52,units,23,9.7
LOG-000321,MTR,Diesel Fuel,2026-06-25,252.56,litres,27,9.8
LOG-000322,MTR,Propane (LPG),2026-06-25,30.07,kg,27,9.8
LOG-000323,MTR,Medical Oxygen,2026-06-25,0.9,cylinders,27,9.8
LOG-000324,MTR,Medical Kit Supplies,2026-06-25,1.95,units,27,9.8
LOG-000325,MTR,Dry Rations,2026-06-25,33.59,kg,27,9.8
LOG-000326,MTR,Frozen Rations,2026-06-25,26.89,kg,27,9.8
LOG-000327,MTR,Potable Water Treatment Tablets,2026-06-25,3.52,units,27,9.8
LOG-000328,MTR,Spare Batteries (AA/Lithium),2026-06-25,3.03,units,27,9.8
LOG-000329,MTR,Diesel Fuel,2026-06-26,371.54,litres,27,9.9
LOG-000330,MTR,Propane (LPG),2026-06-26,23.21,kg,27,9.9
LOG-000331,MTR,Medical Oxygen,2026-06-26,1.16,cylinders,27,9.9
LOG-000332,MTR,Medical Kit Supplies,2026-06-26,2.19,units,27,9.9
LOG-000333,MTR,Dry Rations,2026-06-26,27.16,kg,27,9.9
LOG-000334,MTR,Frozen Rations,2026-06-26,17.08,kg,27,9.9
LOG-000335,MTR,Potable Water Treatment Tablets,2026-06-26,3.35,units,27,9.9
LOG-000336,MTR,Spare Batteries (AA/Lithium),2026-06-26,2.84,units,27,9.9
LOG-000337,MTR,Diesel Fuel,2026-06-27,192.39,litres,24,9.9
LOG-000338,MTR,Propane (LPG),2026-06-27,25.69,kg,24,9.9
